;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utrikes födda efter län, kommun och födelseland 31 december 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Län;;Kön;Folk-;därav utrikes födda efter födelseland1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kommun;;mängd;Samtliga;I procent;Norden utom;därav;                                            ;                                            ;                                            ;EU28 utom Norden;;;Europa utom EU28 och Norden;;;                                            ;Afrika;                                            ;                                            ;Nord-amerika;Syd-amerika;Asien;                                            ;                                            ;                                            ;                                            ;                                            ;Oceanien;Sovjet-unionen;Okänt;;;;
;;;;;"av folk-
mängden";Sverige;Danmark;Finland;Island;Norge;;Polen;Tyskland;;Bosnien och Hercegovina;Jugo-slavien;Turkiet;;Eritrea;Somalia;;;;Afghan-istan;Irak;Iran;Syrien;Thailand;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Riket;;Båda könen;10 230 185;1 955 569;19,1;235 633;40 011;147 883;5 992;41 747;369 743;92 759;51 140;259 177;59 395;65 124;49 948;219 914;42 300;68 678;40 116;72 467;745 271;51 979;144 035;77 386;185 991;42 394;6 236;5 508;1 504;;;;
;Solna;Båda könen;80 950;24 691;30,5;2 172;139;1 639;134;260;5 597;994;632;2 658;365;436;649;1 912;507;67;676;1 237;10 162;213;711;2 494;571;430;109;157;11;;;;
;Solna;Kvinnor;40 427;12 512;30,9;1 408;63;1 116;75;154;2 618;572;337;1 408;193;217;293;874;230;32;332;651;5 075;80;326;1 240;236;342;38;104;4;;;;
;Solna;Män;40 523;12 179;30,1;764;76;523;59;106;2 979;422;295;1 250;172;219;356;1 038;277;35;344;586;5 087;133;385;1 254;335;88;71;53;7;;;;
;Stockholm;Båda könen;962 154;242 287;25,2;21 868;1 768;16 514;576;3 010;53 551;11 965;5 318;24 588;3 346;3 743;7 527;34 410;6 227;8 069;8 370;15 592;81 041;4 067;16 533;12 242;8 229;4 011;1 278;1 426;163;;;;
;Stockholm;Kvinnor;486 104;121 612;25,0;14 053;907;11 126;305;1 715;25 460;6 572;2 753;12 938;1 703;1 976;3 491;16 074;2 936;4 104;3 912;7 778;39 949;1 409;7 586;5 996;3 453;3 038;439;945;64;;;;
;Stockholm;Män;476 050;120 675;25,3;7 815;861;5 388;271;1 295;28 091;5 393;2 565;11 650;1 643;1 767;4 036;18 336;3 291;3 965;4 458;7 814;41 092;2 658;8 947;6 246;4 776;973;839;481;99;;;;
;Sundbyberg;Båda könen;50 564;15 532;30,7;1 288;68;1 032;48;140;2 813;748;209;1 389;222;165;334;2 949;1 243;282;293;687;6 015;183;881;1 432;1 023;265;50;45;3;;;;
;Sundbyberg;Kvinnor;25 045;7 695;30,7;801;26;665;23;87;1 328;390;106;714;110;85;152;1 395;601;137;144;358;2 913;57;370;703;471;200;11;31;-;;;;
;Sundbyberg;Män;25 519;7 837;30,7;487;42;367;25;53;1 485;358;103;675;112;80;182;1 554;642;145;149;329;3 102;126;511;729;552;65;39;14;3;;;;
;Södertälje;Båda könen;97 381;39 047;40,1;3 892;156;3 423;41;272;6 165;2 159;684;4 707;500;468;2 307;2 497;89;181;320;1 217;20 145;242;8 494;263;7 535;470;36;56;12;;;;
;Södertälje;Kvinnor;47 645;18 934;39,7;2 121;70;1 896;17;138;2 792;992;341;2 301;238;227;1 108;1 079;38;95;146;581;9 863;88;4 183;127;3 627;362;16;33;2;;;;
;Södertälje;Män;49 736;20 113;40,4;1 771;86;1 527;24;134;3 373;1 167;343;2 406;262;241;1 199;1 418;51;86;174;636;10 282;154;4 311;136;3 908;108;20;23;10;;;;
;Tyresö;Båda könen;48 004;8 185;17,1;1 362;83;1 124;14;141;2 172;702;218;700;82;109;129;674;123;58;209;858;2 117;192;249;223;328;262;54;30;9;;;;
;Tyresö;Kvinnor;23 892;4 195;17,6;851;42;726;7;76;1 023;351;120;352;32;58;52;283;39;25;104;433;1 110;66;116;111;141;202;14;20;5;;;;
;Tyresö;Män;24 112;3 990;16,5;511;41;398;7;65;1 149;351;98;348;50;51;77;391;84;33;105;425;1 007;126;133;112;187;60;40;10;4;;;;
;Täby;Båda könen;71 397;12 832;18,0;1 680;143;1 228;35;274;3 476;798;509;1 113;112;209;120;649;113;22;378;657;4 691;263;395;1 324;288;235;69;108;11;;;;
;Täby;Kvinnor;35 879;6 762;18,8;1 077;68;847;13;149;1 689;412;297;600;49;101;53;279;33;12;193;370;2 461;93;182;670;120;187;23;65;5;;;;
;Täby;Män;35 518;6 070;17,1;603;75;381;22;125;1 787;386;212;513;63;108;67;370;80;10;185;287;2 230;170;213;654;168;48;46;43;6;;;;
;Upplands Väsby;Båda könen;45 543;13 796;30,3;2 185;78;1 957;22;128;2 316;750;161;1 375;179;195;408;1 304;198;109;235;754;5 576;288;1 009;1 455;710;283;11;35;5;;;;
;Upplands Väsby;Kvinnor;22 645;6 944;30,7;1 309;38;1 185;14;72;1 111;385;93;694;84;95;192;601;99;50;118;368;2 720;92;465;721;293;229;1;22;-;;;;
;Upplands Väsby;Män;22 898;6 852;29,9;876;40;772;8;56;1 205;365;68;681;95;100;216;703;99;59;117;386;2 856;196;544;734;417;54;10;13;5;;;;
;Upplands-Bro;Båda könen;28 756;7 868;27,4;1 153;54;946;27;126;1 524;514;134;627;131;55;128;1 199;228;250;177;431;2 712;161;652;444;380;150;14;24;7;;;;
;Upplands-Bro;Kvinnor;14 171;3 945;27,8;689;28;572;16;73;725;268;75;318;64;26;47;563;124;111;96;209;1 318;47;323;203;161;116;6;18;3;;;;
;Upplands-Bro;Män;14 585;3 923;26,9;464;26;374;11;53;799;246;59;309;67;29;81;636;104;139;81;222;1 394;114;329;241;219;34;8;6;4;;;;
;Vallentuna;Båda könen;33 432;4 836;14,5;756;56;582;19;99;1 594;417;197;328;38;60;32;267;51;5;120;221;1 505;101;282;276;156;173;25;18;2;;;;
;Vallentuna;Kvinnor;16 620;2 470;14,9;446;21;354;12;59;717;215;102;175;14;29;14;113;18;3;62;124;815;37;125;135;72;138;5;11;2;;;;
;Vallentuna;Män;16 812;2 366;14,1;310;35;228;7;40;877;202;95;153;24;31;18;154;33;2;58;97;690;64;157;141;84;35;20;7;-;;;;
;Vaxholm;Båda könen;12 023;1 339;11,1;269;20;186;9;54;380;71;49;123;23;6;14;88;28;11;64;84;300;32;15;32;35;41;18;11;2;;;;
;Vaxholm;Kvinnor;6 056;697;11,5;162;7;125;3;27;188;37;28;66;11;1;5;37;7;4;33;42;159;13;8;17;13;30;5;5;-;;;;
;Vaxholm;Män;5 967;642;10,8;107;13;61;6;27;192;34;21;57;12;5;9;51;21;7;31;42;141;19;7;15;22;11;13;6;2;;;;
;Värmdö;Båda könen;44 397;6 073;13,7;1 401;89;1 147;27;138;1 687;402;204;476;29;134;41;453;124;41;177;324;1 465;201;198;145;175;221;52;33;5;;;;
;Värmdö;Kvinnor;21 946;3 110;14,2;838;37;714;15;72;754;183;106;239;13;59;11;202;47;22;84;177;774;73;95;65;73;167;21;20;1;;;;
;Värmdö;Män;22 451;2 963;13,2;563;52;433;12;66;933;219;98;237;16;75;30;251;77;19;93;147;691;128;103;80;102;54;31;13;4;;;;
;Österåker;Båda könen;44 831;7 376;16,5;1 228;82;939;28;179;2 564;843;328;452;40;81;62;334;70;18;228;502;1 988;159;289;309;292;175;39;33;8;;;;
;Österåker;Kvinnor;22 074;3 748;17,0;758;38;600;16;104;1 131;370;184;254;20;39;27;161;28;12;106;278;1 014;48;133;158;119;139;16;24;6;;;;
;Österåker;Män;22 757;3 628;15,9;470;44;339;12;75;1 433;473;144;198;20;42;35;173;42;6;122;224;974;111;156;151;173;36;23;9;2;;;;
Uppsala län;;Båda könen;376 354;67 851;18,0;8 914;517;6 937;324;1 136;12 526;1 878;1 950;5 723;972;767;2 000;8 413;1 773;1 770;1 856;2 386;27 387;2 011;4 286;4 248;5 689;1 656;327;261;58;;;;
Uppsala län;;Kvinnor;188 107;33 948;18,0;5 241;240;4 213;156;632;5 890;981;1 057;2 978;486;397;934;3 976;836;882;937;1 240;13 374;622;2 006;2 028;2 541;1 299;119;177;16;;;;
Uppsala län;;Män;188 247;33 903;18,0;3 673;277;2 724;168;504;6 636;897;893;2 745;486;370;1 066;4 437;937;888;919;1 146;14 013;1 389;2 280;2 220;3 148;357;208;84;42;;;;
;Enköping;Båda könen;44 429;6 630;14,9;1 316;59;1 114;19;124;1 025;214;150;513;137;84;142;1 032;177;462;99;154;2 454;134;441;152;835;229;22;9;6;;;;
;Enköping;Kvinnor;21 937;3 305;15,1;737;29;626;11;71;454;101;79;255;70;41;54;483;77;226;49;94;1 215;38;204;67;376;176;7;7;4;;;;
;Enköping;Män;22 492;3 325;14,8;579;30;488;8;53;571;113;71;258;67;43;88;549;100;236;50;60;1 239;96;237;85;459;53;15;2;2;;;;
;Heby;Båda könen;13 910;1 663;12,0;384;14;333;9;28;356;39;50;160;17;30;64;157;66;9;29;24;546;87;86;35;128;87;1;6;-;;;;
;Heby;Kvinnor;6 813;848;12,4;225;9;194;3;19;161;20;26;78;4;16;31;67;24;4;16;16;280;31;37;18;55;68;1;4;-;;;;
;Heby;Män;7 097;815;11,5;159;5;139;6;9;195;19;24;82;13;14;33;90;42;5;13;8;266;56;49;17;73;19;-;2;-;;;;
;Håbo;Båda könen;21 564;3 333;15,5;978;45;828;11;94;738;181;103;244;21;28;54;253;64;12;79;158;860;81;104;71;144;135;14;7;2;;;;
;Håbo;Kvinnor;10 634;1 703;16,0;531;17;454;7;53;326;99;50;124;10;16;19;134;37;5;42;81;458;26;47;28;69;111;1;5;1;;;;
;Håbo;Män;10 930;1 630;14,9;447;28;374;4;41;412;82;53;120;11;12;35;119;27;7;37;77;402;55;57;43;75;24;13;2;1;;;;
;Knivsta;Båda könen;18 720;2 544;13,6;431;37;307;13;74;657;115;72;177;25;31;22;302;65;58;107;76;759;51;152;120;111;59;29;4;2;;;;
;Knivsta;Kvinnor;9 224;1 265;13,7;256;15;194;5;42;294;59;41;89;8;14;9;143;30;29;55;37;378;9;66;52;42;47;10;3;-;;;;
;Knivsta;Män;9 496;1 279;13,5;175;22;113;8;32;363;56;31;88;17;17;13;159;35;29;52;39;381;42;86;68;69;12;19;1;2;;;;
;Tierp;Båda könen;21 127;2 646;12,5;436;18;384;2;32;464;95;57;177;46;30;49;613;126;236;35;102;804;103;52;33;276;111;12;1;2;;;;
