;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utrikes födda efter län, kommun och födelseland 31 december 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Län;;Kön;Folk-;därav utrikes födda efter födelseland1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kommun;;mängd;Samtliga;I procent;Norden utom;därav;                                            ;                                            ;                                            ;EU28 utom Norden;;;Europa utom EU28 och Norden;;;                                            ;Afrika;                                            ;                                            ;Nord-amerika;Syd-amerika;Asien;                                            ;                                            ;                                            ;                                            ;                                            ;Oceanien;Sovjet-unionen;Okänt;;;;
;;;;;"av folk-
mängden";Sverige;Danmark;Finland;Island;Norge;;Polen;Tyskland;;Bosnien och Hercegovina;Jugo-slavien;Turkiet;;Eritrea;Somalia;;;;Afghan-istan;Irak;Iran;Syrien;Thailand;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Riket;;Båda könen;10 230 185;1 955 569;19,1;235 633;40 011;147 883;5 992;41 747;369 743;92 759;51 140;259 177;59 395;65 124;49 948;219 914;42 300;68 678;40 116;72 467;745 271;51 979;144 035;77 386;185 991;42 394;6 236;5 508;1 504;;;;
;Kungsbacka;Män;41 479;3 556;8,6;502;157;157;19;169;1 168;266;175;235;59;45;39;234;63;29;147;115;1 093;111;58;135;383;48;50;10;2;;;;
;Laholm;Båda könen;25 491;3 802;14,9;545;312;128;26;79;913;338;155;600;95;290;36;125;27;29;51;51;1 503;66;81;22;945;81;10;1;3;;;;
;Laholm;Kvinnor;12 556;1 871;14,9;274;127;93;10;44;445;177;77;295;53;132;15;63;17;10;25;31;730;20;38;11;417;68;6;1;1;;;;
;Laholm;Män;12 935;1 931;14,9;271;185;35;16;35;468;161;78;305;42;158;21;62;10;19;26;20;773;46;43;11;528;13;4;-;2;;;;
;Varberg;Båda könen;63 630;6 873;10,8;899;276;318;63;242;1 777;376;223;1 472;203;717;84;246;69;10;221;301;1 923;122;132;100;689;328;23;9;2;;;;
;Varberg;Kvinnor;31 765;3 481;11,0;528;143;215;29;141;857;212;119;711;99;352;34;95;25;6;107;145;1 020;31;59;52;277;270;11;6;1;;;;
;Varberg;Män;31 865;3 392;10,6;371;133;103;34;101;920;164;104;761;104;365;50;151;44;4;114;156;903;91;73;48;412;58;12;3;1;;;;
Västra Götalands län;;Båda könen;1 709 814;324 041;19,0;38 054;4 984;20 609;1 336;11 125;56 539;13 208;8 306;49 484;13 582;13 799;7 001;35 971;4 143;16 459;6 042;10 335;125 732;7 848;22 865;18 955;29 200;6 205;1 020;749;115;;;;
Västra Götalands län;;Kvinnor;849 480;160 775;18,9;21 216;2 430;12 189;666;5 931;27 212;7 108;4 290;24 773;6 840;6 834;3 098;17 276;1 835;8 484;3 001;5 454;60 925;2 929;10 531;9 017;12 754;4 797;358;504;56;;;;
Västra Götalands län;;Män;860 334;163 266;19,0;16 838;2 554;8 420;670;5 194;29 327;6 100;4 016;24 711;6 742;6 965;3 903;18 695;2 308;7 975;3 041;4 881;64 807;4 919;12 334;9 938;16 446;1 408;662;245;59;;;;
;Ale;Båda könen;30 926;5 048;16,3;879;125;591;20;143;930;295;92;901;417;239;33;190;36;32;67;154;1 903;116;428;242;364;151;15;8;1;;;;
;Ale;Kvinnor;15 118;2 524;16,7;445;54;306;6;79;454;152;43;445;208;114;15;95;18;14;31;85;960;40;200;115;157;123;4;4;1;;;;
;Ale;Män;15 808;2 524;16,0;434;71;285;14;64;476;143;49;456;209;125;18;95;18;18;36;69;943;76;228;127;207;28;11;4;-;;;;
;Alingsås;Båda könen;41 070;4 849;11,8;712;100;402;24;186;946;210;161;692;136;246;31;451;77;134;114;149;1 741;274;251;197;436;115;31;11;2;;;;
;Alingsås;Kvinnor;20 629;2 465;11,9;421;45;252;14;110;469;114;97;340;72;119;12;206;40;64;58;87;868;110;110;87;190;97;8;8;-;;;;
;Alingsås;Män;20 441;2 384;11,7;291;55;150;10;76;477;96;64;352;64;127;19;245;37;70;56;62;873;164;141;110;246;18;23;3;2;;;;
;Bengtsfors;Båda könen;9 846;1 978;20,1;555;57;118;4;376;319;69;114;93;10;43;13;172;11;124;16;17;803;9;24;6;604;33;3;-;-;;;;
;Bengtsfors;Kvinnor;4 745;949;20,0;277;27;56;2;192;161;38;58;42;5;21;3;74;7;59;6;12;375;-;10;1;266;32;2;-;-;;;;
;Bengtsfors;Män;5 101;1 029;20,2;278;30;62;2;184;158;31;56;51;5;22;10;98;4;65;10;5;428;9;14;5;338;1;1;-;-;;;;
;Bollebygd;Båda könen;9 427;981;10,4;210;45;126;5;34;262;70;51;88;14;26;7;59;22;-;47;30;275;31;46;40;68;22;3;7;-;;;;
;Bollebygd;Kvinnor;4 661;502;10,8;117;20;77;2;18;120;36;25;42;6;13;3;26;9;-;20;18;150;15;26;20;34;19;2;7;-;;;;
;Bollebygd;Män;4 766;479;10,1;93;25;49;3;16;142;34;26;46;8;13;4;33;13;-;27;12;125;16;20;20;34;3;1;-;-;;;;
;Borås;Båda könen;112 178;25 363;22,6;3 894;269;3 159;74;392;3 686;848;465;4 479;1 271;1 358;328;2 904;255;1 755;264;535;9 418;1 053;1 378;1 337;2 206;433;48;120;15;;;;
;Borås;Kvinnor;56 239;12 990;23,1;2 385;140;1 990;32;223;1 835;441;273;2 268;633;704;147;1 440;116;903;131;298;4 524;449;631;639;931;334;22;81;6;;;;
;Borås;Män;55 939;12 373;22,1;1 509;129;1 169;42;169;1 851;407;192;2 211;638;654;181;1 464;139;852;133;237;4 894;604;747;698;1 275;99;26;39;9;;;;
;Dals-Ed;Båda könen;4 806;782;16,3;400;68;70;-;262;94;17;51;37;10;8;7;52;14;12;9;3;185;31;2;11;79;28;1;-;1;;;;
;Dals-Ed;Kvinnor;2 293;368;16,0;182;13;35;-;134;44;12;21;16;5;1;4;26;5;7;4;2;94;9;1;2;35;23;-;-;-;;;;
;Dals-Ed;Män;2 513;414;16,5;218;55;35;-;128;50;5;30;21;5;7;3;26;9;5;5;1;91;22;1;9;44;5;1;-;1;;;;
;Essunga;Båda könen;5 671;518;9,1;109;14;63;4;28;127;27;21;40;6;16;2;20;2;6;1;3;218;46;16;13;76;24;-;-;-;;;;
;Essunga;Kvinnor;2 828;272;9,6;55;6;33;2;14;69;9;11;22;4;7;2;12;-;3;1;1;112;21;7;7;37;17;-;-;-;;;;
;Essunga;Män;2 843;246;8,7;54;8;30;2;14;58;18;10;18;2;9;-;8;2;3;-;2;106;25;9;6;39;7;-;-;-;;;;
;Falköping;Båda könen;33 155;4 808;14,5;381;65;190;5;121;547;115;100;684;194;193;36;1 176;152;860;48;77;1 871;79;541;61;711;97;14;7;3;;;;
;Falköping;Kvinnor;16 488;2 337;14,2;205;26;114;2;63;268;63;54;332;96;85;17;568;61;421;25;39;891;21;247;30;310;73;4;4;1;;;;
;Falköping;Män;16 667;2 471;14,8;176;39;76;3;58;279;52;46;352;98;108;19;608;91;439;23;38;980;58;294;31;401;24;10;3;2;;;;
;Färgelanda;Båda könen;6 602;800;12,1;151;22;53;8;68;204;57;58;46;7;9;1;70;6;50;10;15;302;24;25;14;155;33;-;2;-;;;;
;Färgelanda;Kvinnor;3 178;395;12,4;75;7;27;3;38;104;27;32;24;2;4;-;28;-;21;6;6;150;4;8;5;79;24;-;2;-;;;;
;Färgelanda;Män;3 424;405;11,8;76;15;26;5;30;100;30;26;22;5;5;1;42;6;29;4;9;152;20;17;9;76;9;-;-;-;;;;
;Grästorp;Båda könen;5 731;429;7,5;105;26;49;1;29;89;16;24;26;7;1;7;28;6;16;2;4;170;17;10;9;51;29;3;2;-;;;;
;Grästorp;Kvinnor;2 833;232;8,2;54;11;26;1;16;45;10;14;15;4;-;4;15;4;7;1;3;95;8;5;2;22;24;3;1;-;;;;
;Grästorp;Män;2 898;197;6,8;51;15;23;-;13;44;6;10;11;3;1;3;13;2;9;1;1;75;9;5;7;29;5;-;1;-;;;;
;Gullspång;Båda könen;5 293;935;17,7;206;31;105;2;68;143;28;61;51;13;6;-;154;82;12;15;8;356;84;30;21;120;41;1;-;1;;;;
;Gullspång;Kvinnor;2 611;486;18,6;107;14;57;-;36;73;13;35;29;7;3;-;89;44;7;7;6;174;36;10;10;51;33;-;-;1;;;;
;Gullspång;Män;2 682;449;16,7;99;17;48;2;32;70;15;26;22;6;3;-;65;38;5;8;2;182;48;20;11;69;8;1;-;-;;;;
;Göteborg;Båda könen;571 868;153 690;26,9;11 117;1 677;6 191;534;2 715;26 716;5 965;3 013;25 096;7 092;6 068;4 976;20 512;1 806;9 089;3 163;5 795;60 375;2 706;12 695;12 555;7 667;1 971;512;360;44;;;;
;Göteborg;Kvinnor;285 845;75 358;26,4;6 206;853;3 624;275;1 454;12 947;3 395;1 558;12 601;3 599;3 076;2 243;9 724;824;4 704;1 534;3 003;28 910;1 059;5 872;6 019;3 193;1 469;177;231;25;;;;
;Göteborg;Män;286 023;78 332;27,4;4 911;824;2 567;259;1 261;13 769;2 570;1 455;12 495;3 493;2 992;2 733;10 788;982;4 385;1 629;2 792;31 465;1 647;6 823;6 536;4 474;502;335;129;19;;;;
;Götene;Båda könen;13 232;1 505;11,4;235;39;114;2;80;359;100;55;194;44;79;6;120;39;59;23;94;474;63;17;11;236;43;5;1;-;;;;
;Götene;Kvinnor;6 460;749;11,6;133;23;68;1;41;173;50;34;97;22;38;3;49;11;29;11;49;231;24;5;3;107;37;5;1;-;;;;
;Götene;Män;6 772;756;11,2;102;16;46;1;39;186;50;21;97;22;41;3;71;28;30;12;45;243;39;12;8;129;6;-;-;-;;;;
;Herrljunga;Båda könen;9 494;1 139;12,0;231;26;155;11;39;250;57;48;226;61;78;16;71;28;15;18;27;309;48;24;23;93;30;2;4;1;;;;
;Herrljunga;Kvinnor;4 656;568;12,2;126;16;87;6;17;113;27;23;115;32;35;5;31;12;8;10;19;150;14;12;13;35;25;-;3;1;;;;
;Herrljunga;Män;4 838;571;11,8;105;10;68;5;22;137;30;25;111;29;43;11;40;16;7;8;8;159;34;12;10;58;5;2;1;-;;;;
;Hjo;Båda könen;9 176;782;8,5;160;24;94;5;37;213;46;73;34;15;3;1;66;29;2;13;19;269;20;29;11;116;28;5;3;-;;;;
;Hjo;Kvinnor;4 570;391;8,6;91;11;55;4;21;97;19;39;23;8;3;-;28;9;1;4;9;135;7;10;4;53;25;1;3;-;;;;
;Hjo;Män;4 606;391;8,5;69;13;39;1;16;116;27;34;11;7;-;1;38;20;1;9;10;134;13;19;7;63;3;4;-;-;;;;
;Härryda;Båda könen;37 802;4 447;11,8;757;89;451;28;189;1 055;263;142;483;133;155;27;203;43;23;108;165;1 620;156;261;315;275;137;33;22;1;;;;
;Härryda;Kvinnor;18 769;2 275;12,1;419;41;256;15;107;484;124;82;255;65;63;10;100;16;11;65;93;833;57;115;162;117;107;11;14;1;;;;
;Härryda;Män;19 033;2 172;11,4;338;48;195;13;82;571;139;60;228;68;92;17;103;27;12;43;72;787;99;146;153;158;30;22;8;-;;;;
;Karlsborg;Båda könen;6 941;674;9,7;96;11;57;-;28;173;19;98;29;1;4;2;41;12;9;15;14;300;27;11;17;183;13;4;2;-;;;;
;Karlsborg;Kvinnor;3 404;343;10,1;55;7;34;-;14;99;13;51;16;-;2;1;12;1;4;9;9;137;11;5;6;77;11;4;2;-;;;;
;Karlsborg;Män;3 537;331;9,4;41;4;23;-;14;74;6;47;13;1;2;1;29;11;5;6;5;163;16;6;11;106;2;-;-;-;;;;
;Kungälv;Båda könen;45 086;4 533;10,1;688;127;307;30;224;891;217;131;587;160;191;99;210;38;64;95;159;1 872;168;412;96;442;159;20;10;1;;;;
;Kungälv;Kvinnor;22 575;2 313;10,2;399;64;199;13;123;411;109;67;299;81;92;44;102;22;35;49;95;944;58;196;38;195;123;7;7;-;;;;
;Kungälv;Män;22 511;2 220;9,9;289;63;108;17;101;480;108;64;288;79;99;55;108;16;29;46;64;928;110;216;58;247;36;13;3;1;;;;
;Lerum;Båda könen;42 137;4 466;10,6;737;148;358;49;182;1 082;256;178;455;171;118;35;245;70;15;126;127;1 641;170;257;321;322;107;36;14;3;;;;
;Lerum;Kvinnor;20 916;2 204;10,5;409;72;221;21;95;504;128;89;219;90;43;13;119;30;7;59;61;813;64;106;148;136;80;11;9;-;;;;
;Lerum;Män;21 221;2 262;10,7;328;76;137;28;87;578;128;89;236;81;75;22;126;40;8;67;66;828;106;151;173;186;27;25;5;3;;;;
;Lidköping;Båda könen;39 879;4 144;10,4;367;70;172;8;117;612;127;121;883;228;323;94;404;150;98;62;98;1 705;180;228;74;545;123;5;7;1;;;;
;Lidköping;Kvinnor;19 883;2 094;10,5;217;32;119;5;61;319;73;63;439;111;152;47;198;67;50;30;60;822;66;106;32;226;94;2;6;1;;;;
;Lidköping;Män;19 996;2 050;10,3;150;38;53;3;56;293;54;58;444;117;171;47;206;83;48;32;38;883;114;122;42;319;29;3;1;-;;;;
;Lilla Edet;Båda könen;14 046;2 319;16,5;572;78;391;8;95;564;211;67;303;94;86;24;93;11;23;28;95;650;26;86;46;212;66;9;2;3;;;;
;Lilla Edet;Kvinnor;6 687;1 105;16,5;290;39;199;4;48;217;74;28;145;40;47;7;50;3;12;13;58;325;9;39;20;93;54;2;2;3;;;;
;Lilla Edet;Män;7 359;1 214;16,5;282;39;192;4;47;347;137;39;158;54;39;17;43;8;11;15;37;325;17;47;26;119;12;7;-;-;;;;
;Lysekil;Båda könen;14 611;2 078;14,2;319;40;69;6;204;385;103;50;209;71;42;26;200;40;105;60;73;826;37;84;25;434;63;5;1;-;;;;
;Lysekil;Kvinnor;7 266;1 033;14,2;171;22;40;3;106;180;56;27;107;38;19;13;104;17;57;31;40;397;8;29;10;198;50;2;1;-;;;;
;Lysekil;Män;7 345;1 045;14,2;148;18;29;3;98;205;47;23;102;33;23;13;96;23;48;29;33;429;29;55;15;236;13;3;-;-;;;;
;Mariestad;Båda könen;24 372;2 813;11,5;721;55;501;10;155;488;97;105;379;114;114;14;155;31;15;34;48;982;116;119;55;344;79;2;4;-;;;;
;Mariestad;Kvinnor;12 102;1 393;11,5;388;30;281;5;72;225;53;49;186;52;54;6;77;14;9;15;17;480;33;53;27;166;56;2;3;-;;;;
;Mariestad;Män;12 270;1 420;11,6;333;25;220;5;83;263;44;56;193;62;60;8;78;17;6;19;31;502;83;66;28;178;23;-;1;-;;;;
;Mark;Båda könen;34 781;4 503;12,9;867;123;608;16;120;1 025;188;183;798;162;342;23;298;42;105;96;240;1 149;90;111;57;428;129;12;17;1;;;;
;Mark;Kvinnor;17 165;2 286;13,3;508;59;370;8;71;445;80;93;405;80;171;10;149;16;51;52;115;596;35;45;25;184;115;3;12;1;;;;
;Mark;Män;17 616;2 217;12,6;359;64;238;8;49;580;108;90;393;82;171;13;149;26;54;44;125;553;55;66;32;244;14;9;5;-;;;;
;Mellerud;Båda könen;9 354;1 696;18,1;337;39;97;15;186;211;33;55;213;8;100;12;98;35;37;14;13;803;49;30;17;512;77;1;2;4;;;;
;Mellerud;Kvinnor;4 522;827;18,3;168;18;53;6;91;97;19;31;109;4;48;3;46;15;21;9;6;388;14;13;5;241;53;1;2;1;;;;
;Mellerud;Män;4 832;869;18,0;169;21;44;9;95;114;14;24;104;4;52;9;52;20;16;5;7;415;35;17;12;271;24;-;-;3;;;;
;Munkedal;Båda könen;10 503;1 263;12,0;282;46;62;4;170;194;56;69;181;10;76;27;44;14;9;24;29;506;29;21;14;319;29;2;-;1;;;;
;Munkedal;Kvinnor;5 064;623;12,3;156;25;38;1;92;93;28;34;89;4;35;14;16;4;3;13;18;236;5;8;4;133;22;1;-;1;;;;
;Munkedal;Män;5 439;640;11,8;126;21;24;3;78;101;28;35;92;6;41;13;28;10;6;11;11;270;24;13;10;186;7;1;-;-;;;;
;Mölndal;Båda könen;68 152;12 036;17,7;1 201;204;591;111;295;2 778;624;366;1 331;355;383;138;775;82;246;339;396;5 115;360;1 249;1 141;571;218;55;44;2;;;;
;Mölndal;Kvinnor;34 017;6 079;17,9;687;107;359;56;165;1 322;346;181;654;179;190;58;388;29;138;175;205;2 598;138;600;553;255;180;18;32;-;;;;
;Mölndal;Män;34 135;5 957;17,5;514;97;232;55;130;1 456;278;185;677;176;193;80;387;53;108;164;191;2 517;222;649;588;316;38;37;12;2;;;;
;Orust;Båda könen;15 110;1 270;8,4;243;37;112;5;89;412;89;102;125;61;17;12;48;18;1;40;28;354;31;13;31;105;66;13;6;1;;;;
;Orust;Kvinnor;7 428;627;8,4;125;16;67;1;41;181;45;38;59;29;6;4;16;6;-;22;19;195;12;6;11;48;51;6;4;-;;;;
;Orust;Män;7 682;643;8,4;118;21;45;4;48;231;44;64;66;32;11;8;32;12;1;18;9;159;19;7;20;57;15;7;2;1;;;;
;Partille;Båda könen;38 443;6 915;18,0;725;107;384;58;176;1 417;459;181;1 104;297;356;120;412;56;66;130;290;2 794;161;577;983;367;85;25;15;3;;;;
;Partille;Kvinnor;19 116;3 450;18,0;425;55;245;30;95;686;245;92;534;144;168;43;191;21;32;62;156;1 382;54;274;483;164;66;5;8;1;;;;
;Partille;Män;19 327;3 465;17,9;300;52;139;28;81;731;214;89;570;153;188;77;221;35;34;68;134;1 412;107;303;500;203;19;20;7;2;;;;
;Skara;Båda könen;18 829;2 947;15,7;262;55;128;9;70;504;170;58;466;87;195;12;552;188;194;34;61;1 062;63;87;25;539;100;3;3;-;;;;
;Skara;Kvinnor;9 404;1 451;15,4;157;23;91;6;37;235;81;31;231;40;104;5;270;94;100;16;31;507;15;38;10;233;76;1;3;-;;;;
;Skara;Män;9 425;1 496;15,9;105;32;37;3;33;269;89;27;235;47;91;7;282;94;94;18;30;555;48;49;15;306;24;2;-;-;;;;
;Skövde;Båda könen;55 729;8 514;15,3;1 292;104;935;80;173;1 195;240;191;1 060;342;266;182;531;63;147;126;152;4 124;204;724;211;1 677;243;21;12;1;;;;
;Skövde;Kvinnor;27 458;4 372;15,9;728;56;527;41;104;619;128;100;558;179;138;92;234;28;68;67;87;2 062;75;351;102;792;181;9;8;-;;;;
;Skövde;Män;28 271;4 142;14,7;564;48;408;39;69;576;112;91;502;163;128;90;297;35;79;59;65;2 062;129;373;109;885;62;12;4;1;;;;
;Sotenäs;Båda könen;9 030;913;10,1;221;26;71;7;117;197;59;23;90;20;11;22;27;10;1;27;55;291;21;11;10;105;53;1;2;2;;;;
;Sotenäs;Kvinnor;4 434;472;10,6;130;12;55;5;58;77;24;12;47;9;6;8;15;7;-;13;28;158;3;3;4;47;42;1;2;1;;;;
;Sotenäs;Män;4 596;441;9,6;91;14;16;2;59;120;35;11;43;11;5;14;12;3;1;14;27;133;18;8;6;58;11;-;-;1;;;;
;Stenungsund;Båda könen;26 503;2 941;11,1;545;91;221;9;224;634;210;112;390;115;144;40;205;39;66;61;111;975;97;124;127;238;104;12;7;1;;;;
;Stenungsund;Kvinnor;13 188;1 518;11,5;316;44;142;4;126;294;102;56;187;58;57;18;109;24;37;40;53;509;38;55;63;101;83;5;4;1;;;;
;Stenungsund;Män;13 315;1 423;10,7;229;47;79;5;98;340;108;56;203;57;87;22;96;15;29;21;58;466;59;69;64;137;21;7;3;-;;;;
;Strömstad;Båda könen;13 253;3 554;26,8;1 487;48;55;8;1 376;394;112;84;450;34;109;138;182;35;64;70;105;858;35;311;35;161;97;5;2;1;;;;
;Strömstad;Kvinnor;6 506;1 730;26,6;763;23;29;3;708;185;57;39;210;17;44;57;77;11;28;41;55;396;10;133;13;61;74;1;1;1;;;;
;Strömstad;Män;6 747;1 824;27,0;724;25;26;5;668;209;55;45;240;17;65;81;105;24;36;29;50;462;25;178;22;100;23;4;1;-;;;;
;Svenljunga;Båda könen;10 683;1 665;15,6;336;59;210;11;56;456;120;132;155;37;37;1;104;15;53;27;38;544;33;22;30;248;48;3;2;-;;;;
;Svenljunga;Kvinnor;5 206;859;16,5;190;27;126;6;31;233;77;63;71;15;17;1;53;7;31;12;22;273;10;11;13;120;36;3;2;-;;;;
;Svenljunga;Män;5 477;806;14,7;146;32;84;5;25;223;43;69;84;22;20;-;51;8;22;15;16;271;23;11;17;128;12;-;-;-;;;;
;Tanum;Båda könen;12 873;1 635;12,7;514;37;58;3;416;258;45;67;134;29;22;33;113;12;28;25;57;533;47;57;19;248;72;-;-;1;;;;
;Tanum;Kvinnor;6 315;859;13,6;291;15;38;1;237;138;31;41;67;12;12;13;63;3;15;14;28;257;10;30;8;100;53;-;-;1;;;;
;Tanum;Män;6 558;776;11,8;223;22;20;2;179;120;14;26;67;17;10;20;50;9;13;11;29;276;37;27;11;148;19;-;-;-;;;;
;Tibro;Båda könen;11 168;1 789;16,0;182;16;120;3;43;214;56;65;189;66;73;4;126;14;79;13;20;1 036;22;86;14;739;26;3;4;2;;;;
;Tibro;Kvinnor;5 512;875;15,9;99;10;65;1;23;100;22;35;102;34;40;1;56;7;32;10;15;485;10;44;4;343;19;3;4;1;;;;
;Tibro;Män;5 656;914;16,2;83;6;55;2;20;114;34;30;87;32;33;3;70;7;47;3;5;551;12;42;10;396;7;-;-;1;;;;
;Tidaholm;Båda könen;12 828;1 436;11,2;182;18;85;1;78;281;92;65;210;91;68;1;41;15;11;19;23;673;54;70;29;351;55;-;6;1;;;;
;Tidaholm;Kvinnor;6 345;717;11,3;104;9;52;1;42;140;41;39;104;48;26;-;14;3;6;9;8;334;18;38;14;161;42;-;4;-;;;;
;Tidaholm;Män;6 483;719;11,1;78;9;33;-;36;141;51;26;106;43;42;1;27;12;5;10;15;339;36;32;15;190;13;-;2;1;;;;
;Tjörn;Båda könen;15 922;1 378;8,7;259;42;80;20;117;407;160;73;131;23;56;10;85;15;31;73;46;368;50;8;12;128;56;6;1;2;;;;
;Tjörn;Kvinnor;7 834;717;9,2;147;24;57;11;55;192;76;36;66;11;29;2;36;8;14;35;28;208;15;4;6;57;46;3;1;1;;;;
;Tjörn;Män;8 088;661;8,2;112;18;23;9;62;215;84;37;65;12;27;8;49;7;17;38;18;160;35;4;6;71;10;3;-;1;;;;
;Tranemo;Båda könen;11 874;1 968;16,6;395;36;284;27;48;409;106;98;355;70;157;3;135;23;41;15;50;600;73;22;34;214;35;3;5;1;;;;
;Tranemo;Kvinnor;5 677;968;17,1;219;15;169;10;25;200;56;42;173;35;77;1;62;9;22;3;27;281;24;14;14;90;29;-;3;-;;;;
;Tranemo;Män;6 197;1 000;16,1;176;21;115;17;23;209;50;56;182;35;80;2;73;14;19;12;23;319;49;8;20;124;6;3;2;1;;;;
;Trollhättan;Båda könen;58 728;12 455;21,2;1 683;195;1 098;29;361;1 279;252;206;2 467;564;815;212;1 808;57;1 330;175;289;4 719;255;934;172;1 475;185;19;12;4;;;;
;Trollhättan;Kvinnor;29 143;6 251;21,4;911;97;603;18;193;641;155;101;1 244;289;416;91;965;29;734;85;145;2 243;103;431;78;670;146;7;9;1;;;;
;Trollhättan;Män;29 585;6 204;21,0;772;98;495;11;168;638;97;105;1 223;275;399;121;843;28;596;90;144;2 476;152;503;94;805;39;12;3;3;;;;
;Töreboda;Båda könen;9 312;1 316;14,1;208;25;102;10;71;215;17;81;133;49;26;2;91;18;28;11;11;643;39;18;10;438;30;3;1;-;;;;
;Töreboda;Kvinnor;4 521;642;14,2;104;13;55;6;30;112;8;48;69;25;15;1;40;8;10;7;8;300;15;6;4;198;22;1;1;-;;;;
;Töreboda;Män;4 791;674;14,1;104;12;47;4;41;103;9;33;64;24;11;1;51;10;18;4;3;343;24;12;6;240;8;2;-;-;;;;
;Uddevalla;Båda könen;56 259;9 337;16,6;1 024;146;435;19;424;1 113;300;237;1 396;288;550;68;1 012;127;519;142;296;4 316;189;781;161;1 806;208;23;10;5;;;;
;Uddevalla;Kvinnor;28 081;4 570;16,3;559;60;251;10;238;535;157;126;690;146;260;26;473;47;256;79;152;2 060;51;349;67;805;160;9;10;3;;;;
;Uddevalla;Män;28 178;4 767;16,9;465;86;184;9;186;578;143;111;706;142;290;42;539;80;263;63;144;2 256;138;432;94;1 001;48;14;-;2;;;;
;Ulricehamn;Båda könen;24 445;3 207;13,1;518;64;331;22;101;791;193;199;388;84;130;9;98;10;4;41;82;1 271;99;242;113;438;74;11;6;1;;;;
;Ulricehamn;Kvinnor;12 005;1 570;13,1;301;26;208;12;55;357;88;98;188;40;69;1;49;4;1;19;43;607;31;102;51;200;53;2;3;1;;;;
;Ulricehamn;Män;12 440;1 637;13,2;217;38;123;10;46;434;105;101;200;44;61;8;49;6;3;22;39;664;68;140;62;238;21;9;3;-;;;;
;Vara;Båda könen;15 952;1 660;10,4;300;51;155;6;88;461;112;51;165;63;36;25;122;39;31;26;28;552;41;49;37;190;91;6;-;-;;;;
;Vara;Kvinnor;7 745;807;10,4;149;21;82;5;41;198;54;20;77;32;11;9;51;10;13;14;20;298;10;20;17;96;77;-;-;-;;;;
;Vara;Män;8 207;853;10,4;151;30;73;1;47;263;58;31;88;31;25;16;71;29;18;12;8;254;31;29;20;94;14;6;-;-;;;;
;Vårgårda;Båda könen;11 658;1 451;12,4;194;32;125;3;34;196;63;20;197;82;51;17;240;71;76;27;35;553;64;55;63;186;53;7;-;2;;;;
;Vårgårda;Kvinnor;5 695;703;12,3;106;14;77;-;15;81;26;9;99;42;24;4;117;33;45;10;17;271;24;23;26;84;37;1;-;1;;;;
;Vårgårda;Män;5 963;748;12,5;88;18;48;3;19;115;37;11;98;40;27;13;123;38;31;17;18;282;40;32;37;102;16;6;-;1;;;;
;Vänersborg;Båda könen;39 411;6 025;15,3;700;96;330;13;261;877;193;172;1 099;328;320;59;1 049;161;708;71;76;2 132;180;170;80;1 112;159;14;5;2;;;;
;Vänersborg;Kvinnor;19 567;2 929;15,0;380;49;192;4;135;401;100;74;539;164;146;23;528;73;364;31;44;1 001;64;71;31;482;125;3;2;-;;;;
;Vänersborg;Män;19 844;3 096;15,6;320;47;138;9;126;476;93;98;560;164;174;36;521;88;344;40;32;1 131;116;99;49;630;34;11;3;2;;;;
;Åmål;Båda könen;12 720;2 183;17,2;337;39;98;3;197;225;24;86;178;40;48;38;126;14;55;35;49;1 225;40;116;15;811;41;8;-;-;;;;
;Åmål;Kvinnor;6 316;1 059;16,8;179;15;53;-;111;111;14;45;89;19;26;13;64;7;24;22;29;561;10;58;6;357;38;4;-;-;;;;
;Åmål;Män;6 404;1 124;17,6;158;24;45;3;86;114;10;41;89;21;22;25;62;7;31;13;20;664;30;58;9;454;3;4;-;-;;;;
;Öckerö;Båda könen;12 945;903;7,0;158;42;48;6;62;261;22;51;64;8;5;8;53;10;11;43;46;271;41;3;15;55;46;7;-;-;;;;
;Öckerö;Kvinnor;6 460;468;7,2;87;24;29;4;30;128;12;33;35;5;4;1;21;2;6;21;25;149;12;1;5;24;41;2;-;-;;;;
;Öckerö;Män;6 485;435;6,7;71;18;19;2;32;133;10;18;29;3;1;7;32;8;5;22;21;122;29;2;10;31;5;5;-;-;;;;
Värmlands län;;Båda könen;281 482;37 763;13,4;8 797;584;2 109;95;6 009;6 560;1 082;1 477;3 498;679;739;878;3 327;721;1 083;553;797;14 028;1 336;2 348;1 118;5 057;1 133;77;83;43;;;;
Värmlands län;;Kvinnor;139 900;18 937;13,5;4 823;238;1 201;42;3 342;3 109;555;762;1 771;345;351;368;1 643;321;556;288;434;6 761;481;1 026;502;2 157;902;35;55;18;;;;
Värmlands län;;Män;141 582;18 826;13,3;3 974;346;908;53;2 667;3 451;527;715;1 727;334;388;510;1 684;400;527;265;363;7 267;855;1 322;616;2 900;231;42;28;25;;;;
